Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopZScore
2324,-2.47,-3374.85,-44.998,0.76193,-0.65174,-2.47302,0,32.98,75,0.1,2.3
2425,-1.97,-3896.29,-108.23028,0.73352,-0.65141,-1.96535,0,39.88,36,0.1,2.4
2526,-2.08,-4522.04,-92.28653,0.76978,-0.29176,-2.08014,0,65.03,49,0.1,2.5
2627,-1.74,-3118.78,-32.48729,0.9145,-0.21533,-1.7355,0,58.37,96,0.1,2.6
2728,-0.71,-1550.96,-46.99879,0.92177,-0.29247,-0.71214,0,34.63,33,0.1,2.7
2829,-0.46,-1090.29,-26.59244,0.94955,-0.09497,-0.4591,0,50.59,41,0.1,2.8
2930,-5,-11533.51,-281.30512,0.53764,-0.60131,-5,0,84.69,41,0.1,2.9
3031,0.65,1724.32,26.12606,1.05904,0.17155,0.64918,0,41.86,66,0.1,3
3132,-1.38,-3861.84,-257.456,0.58189,-0.76664,-1.37517,0,33.34,15,0.1,3.1
3233,-4.51,-11910.69,-916.20692,0.11539,-1,-4.50579,0,79.4,13,0.1,3.2
3334,-4.51,-11910.69,-916.20692,0.11539,-1,-4.50579,0,79.4,13,0.1,3.3
3435,-2.46,-4540.31,-227.0155,0.52781,-0.71695,-2.45741,0,42.22,20,0.1,3.4
3536,-2.39,-4411.92,-220.596,0.53691,-0.69707,-2.38568,0,41.98,20,0.1,3.5
3637,-1.79,-3801.25,-211.18056,0.58202,-0.65424,-1.78607,0,38.73,18,0.1,3.6
3738,-1.79,-3801.25,-211.18056,0.58202,-0.65424,-1.78607,0,38.73,18,0.1,3.7
3839,-1.79,-3801.25,-211.18056,0.58202,-0.65424,-1.78607,0,38.73,18,0.1,3.8
3940,-1.58,-3380.62,-187.81222,0.61438,-0.58374,-1.57564,0,38.61,18,0.1,3.9
4041,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0.1,4
4142,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0.1,4.1
4243,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0.1,4.2
4344,-2.67,-4424.63,-142.73,0.63617,-0.74001,-2.67348,0,39.86,31,0.1,4.3
4445,-0.66,-2957.11,-211.22214,0.69726,-0.49301,-0.65768,0,39.99,14,0.1,4.4
4546,-1.48,-3036.14,-151.807,0.57853,-0.45749,-1.47802,0,44.24,20,0.1,4.5
4647,-1.48,-3036.14,-151.807,0.57853,-0.45749,-1.47802,0,44.24,20,0.1,4.6
4748,-1.48,-3036.14,-151.807,0.57853,-0.45749,-1.47802,0,44.24,20,0.1,4.7
4849,-1.48,-3036.14,-151.807,0.57853,-0.45749,-1.47802,0,44.24,20,0.1,4.8
4950,-1.48,-3036.14,-151.807,0.57853,-0.45749,-1.47802,0,44.24,20,0.1,4.9
5051,-0.52,-2996.3,-249.69167,0.70311,-0.46157,-0.51556,0,42.26,12,0.1,5
5152,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0.1,5.1
5253,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0.1,5.2
5354,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0.1,5.3
5455,-1.88,-5594.01,-372.934,0.48129,-0.75731,-1.87752,0,45.44,15,0.1,5.4
5556,-1.91,-5635.96,-375.73067,0.4865,-0.75305,-1.91029,0,45.88,15,0.1,5.5
5657,-1.91,-5635.96,-375.73067,0.4865,-0.75305,-1.91029,0,45.88,15,0.1,5.6
5758,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,5.7
5859,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,5.8
5960,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,5.9
6061,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6
6162,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.1
6263,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.2
6364,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.3
6465,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.4
6566,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.5
6667,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.6
